city,city_id
Hà Nội- Nghệ An- Hồ Chí Minh,342
Bà Rịa - Vũng Tàu- Bà Rịa - Vũng Tàu,343
Hà Nội- Nam Định,344
Đà Nẵng- Hồ Chí Minh- Hà Nội,345
Cần Thơ- Hậu Giang- Sóc Trăng,346
Đồng Nai- Đồng Nai- Đồng Nai,347
Hồ Chí Minh- Hà Nội- Thanh Hóa,348
Hưng Yên- Hà Nội- Long An,349
Long An- Hà Nội- Hưng Yên,350
Thái Bình- Hải Dương- Thanh Hóa,351
Lào Cai- Hà Nội- Quảng Ninh,352
Vĩnh Long- ĐBSCL- Tiền Giang,353
Hà Nội- Đồng Nai,354
Bắc Giang- Hải Phòng- Hà Nam,355
Đà Nẵng- Đồng Nai- Bình Dương,356
Long An- Bình Thuận- Tây Ninh,357
Cần Thơ- Hà Nội- Khánh Hòa,358
Bắc Ninh- Đà Nẵng- Quảng Ngãi,359
Đồng Nai- Bà Rịa - Vũng Tàu,360
Hồ Chí Minh- Hà Nam,361
Hà Nội- Ninh Bình- Quảng Ninh,362
Hà Nội- Bắc Ninh- Thái Nguyên,363
Hà Nội- Đà Nẵng- Bình Dương,364
Bình Phước- Hồ Chí Minh,365
Cà Mau,366
Hồ Chí Minh- Bắc Ninh,367
Quảng Trị- Hà Nội- Hưng Yên,368
Lâm Đồng- Hồ Chí Minh- Đồng Nai,369
Lào Cai- Hà Nội- Thái Nguyên,370
Thái Bình- Hưng Yên- Hải Dương,371
Hà Nội- Lào Cai- Hòa Bình,372
Quảng Nam- Quảng Ngãi,373
Điện Biên- Điện Biên,374
Quảng Ngãi- Bình Định- Quảng Bình,375
Hồ Chí Minh- Khánh Hòa- Kiên Giang,376
Sóc Trăng,377
Bắc Ninh- Hải Dương- Hải Phòng,378
Hưng Yên- Bắc Ninh- Hưng Yên,379
Hải Dương- Hưng Yên- Thái Bình,380
Bắc Ninh- Hưng Yên- Bắc Giang,381
Hà Nội- Quảng Ninh,382
Nam Định- Nam Định- Nam Định,383
Hà Nội- Hà Nam- Thừa Thiên Huế,384
Long An- Hồ Chí Minh- Bình Dương,385
Bắc Giang- Bắc Ninh- Hưng Yên,386
Bắc Ninh- Bắc Giang- Lạng Sơn,387
Yên Bái- Phú Thọ- Hà Giang,388
Hà Nội- Hồ Chí Minh- Nghệ An,389
Tiền Giang- Long An- Bến Tre,390
Vĩnh Long- Long An- An Giang,391
Hồ Chí Minh- Hà Tĩnh- Hà Nội,392
Vĩnh Phúc- Hồ Chí Minh- Thái Nguyên,393
Hồ Chí Minh- Khánh Hòa- Bà Rịa - Vũng Tàu,394
Tiền Giang- Hồ Chí Minh- Hồ Chí Minh,395
Đồng Nai- Hồ Chí Minh- Hồ Chí Minh,396
Quảng Ngãi- Quảng Ngãi,397
Đồng Nai- Long An,398
Hải Dương- Bắc Ninh- Hưng Yên,399
Hà Nội- Hà Nam- Hà Nội,400
Hà Nội- Hà Nam- Nam Định,401
Thừa Thiên Huế- Hồ Chí Minh- Hà Nội,402
Tuyên Quang- Hà Nam,403
Hà Nội- Quốc tế- Nghệ An,404
Hà Nội- Cao Bằng- Hà Giang,405
Hồ Chí Minh- Bà Rịa - Vũng Tàu- Cần Thơ,406
Bắc Ninh- Hà Nam- Hà Nội,407
Hưng Yên- Hải Dương,408
Hà Nội- Hồ Chí Minh- Hưng Yên,409
Hà Nội- Hải Phòng- Quảng Ngãi,410
Hà Nội- Hưng Yên- Quảng Ninh,411
Khánh Hòa- Thanh Hóa- Đà Nẵng,412
Hồ Chí Minh- Khác- Hà Nội,413
Đà Nẵng- Bình Định- Quảng Nam,414
Quảng Nam- Bình Định- Đà Nẵng,415
Hà Giang,416
An Giang- Long An- Vĩnh Long,417
Bình Dương- Lâm Đồng- Ninh Thuận,418
Điện Biên,419
Lào Cai- Quảng Ninh- Sơn La,420
Hồ Chí Minh- Hồ Chí Minh- Đà Nẵng,421
Hải Dương- Quảng Ngãi,422
Bắc Giang- Nam Định- Hưng Yên,423
Bình Dương- Hưng Yên,424
Thái Bình- Nam Định,425
Bà Rịa - Vũng Tàu- Đồng Nai,426
Sơn La- Quảng Ninh- Bắc Ninh,427
An Giang,428
Bến Tre,429
Cần Thơ- Hồ Chí Minh,430
Nghệ An- Hà Nội- Hồ Chí Minh,431
Hà Nam- Hà Nội- Nam Định,432
Bắc Giang- Hà Nội- Nghệ An,433
Hà Nội- Khác,434
Hà Nội- Thanh Hóa- Hải Dương,435
Hồ Chí Minh- Hà Nội- Nghệ An,436
Phú Thọ- Hà Nội,437
Hà Nội- Lào Cai,438
Hồ Chí Minh- Hà Nội- Tây Ninh,439
Nghệ An- Hà Giang,440
Long An- Tiền Giang- An Giang,441
Đồng Nai- Vĩnh Phúc,442
Bắc Ninh- Hưng Yên- Hà Nội,443
Long An- Tiền Giang- Vĩnh Long,444
Bà Rịa - Vũng Tàu- Đồng Nai- Bà Rịa - Vũng Tàu,445
Hưng Yên- Thanh Hóa- Hà Nội,446
Hải Phòng- Bến Tre,447
Hưng Yên- Hà Nội- Hà Nội,448
Hà Nội- Hà Nội- Bắc Ninh,449
Hồ Chí Minh- Vĩnh Phúc- Bình Dương,450
Hà Nội- Đà Nẵng- Hà Nội,451
Bến Tre- Long An- Trà Vinh,452
Cần Thơ- Hồ Chí Minh- Long An,453
Vĩnh Phúc- Hà Nội- Hải Phòng,454
Hà Nội- Thái Nguyên- Bắc Ninh,455
Hà Nội- Khánh Hòa- Bình Dương,456
Hà Nội- Đà Nẵng- Ninh Bình,457
Lạng Sơn- Hà Nội,458
Bắc Ninh- Lạng Sơn- Bắc Giang,459
Khánh Hòa- Đồng Tháp,460
Cần Thơ- An Giang- Bà Rịa - Vũng Tàu,461
Vĩnh Phúc- Quảng Nam- Hà Nội,462
Hải Dương- Hải Phòng,463
Hải Phòng- Hà Nội- Hồ Chí Minh,464
Hải Phòng- Hồ Chí Minh,465
Trà Vinh- Long An- Bến Tre,466
Hải Phòng- Bắc Ninh- Nam Định,467
Hồ Chí Minh- Đà Nẵng- Cần Thơ,468
Hưng Yên- Hà Nội- Quảng Ninh,469
Sơn La- Hòa Bình- Phú Thọ,470
Hòa Bình- Thái Bình- Hà Nội,471
Thanh Hóa- Thanh Hóa,472
Đồng Nai- Hà Nội- Hà Nội,473
Hà Nội- Bình Dương- Bình Thuận,474
Nghệ An- Khánh Hòa- Quốc tế,475
Bà Rịa - Vũng Tàu- Tiền Giang- Đà Nẵng,476
Hà Nội- Long An,477
Hồ Chí Minh- Khánh Hòa- Cần Thơ,478
Đồng Tháp- Đồng Tháp,479
Hồ Chí Minh- Đồng Tháp- Cần Thơ,480
Long An- Đồng Tháp- An Giang,481
Hà Nội- Khánh Hòa,482
Đồng Tháp,483
Kiên Giang- Bến Tre- Long An,484
Cần Thơ- Long An- Hồ Chí Minh,485
Hồ Chí Minh- Hà Nội- Cần Thơ,486
Quảng Ninh- Hà Nội,487
Hà Nội- Thái Nguyên- Hải Phòng,488
Hà Tĩnh- Hà Nội- Hồ Chí Minh,489
Hà Nội- Đồng Tháp- Hồ Chí Minh,490
Bắc Ninh- Hải Phòng- Hải Phòng,491
Hà Nội- Hồ Chí Minh- Hà Nội,492
Hà Nam- Hà Nội- Ninh Bình,493
Lâm Đồng- Đồng Nai,494
Bình Định- Tây Ninh,495
Hà Nội- Hồ Chí Minh- Đồng Nai,496
Bà Rịa - Vũng Tàu- Hà Nội- Hà Nội,497
Hồ Chí Minh- Hưng Yên- Bắc Ninh,498
Hồ Chí Minh- Cần Thơ- Long An,499
Hậu Giang- Cần Thơ,500
Hà Nội- Bắc Ninh- Hà Nam,501
Bà Rịa - Vũng Tàu- Hà Nội- Bà Rịa - Vũng Tàu,502
Hà Nội- Nghệ An- Hải Phòng,503
Hà Nội- Đồng Nai- Hải Phòng,504
Thừa Thiên Huế- Đà Nẵng,505
Vĩnh Phúc- Long An- Đồng Nai,506
Hồ Chí Minh- Sóc Trăng- Bạc Liêu,507
Tuyên Quang- Phú Thọ- Vĩnh Phúc,508
Cần Thơ- Đồng Nai,509
Hồ Chí Minh- Đắk Lắk- Khánh Hòa,510
Bà Rịa - Vũng Tàu- Hồ Chí Minh- Đồng Nai,511
Kiên Giang- Hà Nội- Hồ Chí Minh,512
Khánh Hòa- Ninh Thuận- Đắk Lắk,513
Đà Nẵng- Đà Nẵng- Quảng Bình,514
Hà Nội- Bắc Ninh- Bắc Ninh,515
Hải Phòng- Cần Thơ- Hà Nội,516
Hải Phòng- Bắc Ninh- Hà Nội,517
Trà Vinh- Vĩnh Long,518
Phú Thọ- Vĩnh Phúc,519
Hồ Chí Minh- Tây Ninh,520
Hồ Chí Minh- Khánh Hòa- Hà Nội,521
Đồng Nai- Long An- Bình Dương,522
Hưng Yên- Quảng Ninh- Thái Bình,523
Quảng Bình,524
Trà Vinh- Bình Phước- Đà Nẵng,525
Quốc tế- Quốc tế,526
Hà Nội- Đắk Lắk- Cần Thơ,527
Hà Nội- Nghệ An- Đà Nẵng,528
Bình Dương- Trà Vinh- Đồng Nai,529
Hải Phòng- Hà Nội- Thanh Hóa,530
Hồ Chí Minh- Khác- Khác,531
Bình Dương- Bạc Liêu- Ninh Thuận,532
Hà Nội- Hồ Chí Minh- Long An,533
Hà Nội- Hồ Chí Minh- Khánh Hòa,534
Hồ Chí Minh-  Đà Nẵng-  Bình Định,535
Hà Nội-  Vĩnh Phúc,536
Hồ Chí Minh-  KV Nam Trung Bộ-  Bình Dương,537
Hà Nội-  Hải Phòng-  Hồ Chí Minh,538
Hà Nội-  Hồ Chí Minh,539
Quảng Nam-  Đà Nẵng,540
Dak Lak,541
Hồ Chí Minh-  Hà Nội,542
Hưng Yên-  Hà Nội,543
Hà Nội-  Kiên Giang-  Hồ Chí Minh,544
Hà Nội-  Hải Phòng,545
Lai Châu-  Hải Phòng-  Hà Nội,546
Bình Dương-  Nghệ An,547
Hà Nội-  Hồ Chí Minh-  Đà Nẵng,548
Hồ Chí Minh-  Tây Ninh-  Đồng Nai,549
Hải Phòng-  Đà Nẵng-  Thanh Hóa,550
Bình Dương-  Khánh Hòa-  Bà Rịa - Vũng Tàu,551
KV Đông Nam Bộ,552
KV Bắc Trung Bộ,553
Hồ Chí Minh-  Bình Dương-  An Giang,554
Thanh Hóa-  Nam Định-  Hà Tĩnh,555
Hà Nội-  Hải Phòng-  Quảng Ninh,556
Hà Nội-  KV Bắc Trung Bộ,557
Hà Nội-  Lâm Đồng-  Hòa Bình,558
Bình Dương-  Hưng Yên-  Nghệ An,559
Phnompenh,560
Hà Nội-  Quảng Ninh,561
Hậu Giang,562
Bình Dương-  Hồ Chí Minh-  Đà Nẵng,563
Đồng Bằng Sông Cửu Long-  KV Tây Nguyên-  KV Bắc Trung Bộ,564
Phú Yên-  Khánh Hòa,565
Hải Dương-  Hải Phòng-  Nghệ An,566
Cần Thơ-  Trà Vinh,567
Đồng Nai-  Bình Dương-  Bình Thuận,568
Tiền Giang-  Đồng Tháp,569
Hưng Yên-  Hà Nội-  Long An,570
Bạc Liêu,571
Hải Phòng-  Hà Nam-  Vĩnh Phúc,572
Hà Nội-  Bắc Giang-  Đồng Nai,573
Gia Lai,574
Hải Phòng-  Hải Dương-  Quảng Ninh,575
Dak Nông-  Dak Lak,576
Dak Nông-  Gia Lai,577
Đồng Nai-  Bà Rịa - Vũng Tàu,578
Phú Yên-  Bình Định-  Gia Lai,579
Long An-  Hồ Chí Minh,580
Bình Dương-  Bà Rịa - Vũng Tàu-  Đồng Nai,581
Hà Nội-  Đà Nẵng-  Hải Phòng,582
Hà Nội-  Phú Thọ-  Vĩnh Phúc,583
Hải Phòng-  Hà Nội-  Bình Dương,584
Bình Dương-  Đồng Nai,585
Bình Dương-  Hồ Chí Minh-  Đồng Nai,586
Hải Phòng-  Nam Định-  Thái Bình,587
Hồ Chí Minh-  Đồng Nai-  Bình Dương,588
Hà Nội-  Hưng Yên,589
Long An-  Hồ Chí Minh-  Bình Thuận,590
Bạc Liêu-  Cà Mau,591
Hà Nam-  Hải Dương,592
Hà Nội-  Hồ Chí Minh-  Quảng Nam,593
Bình Dương-  Hồ Chí Minh,594
Đồng Nai-  Bà Rịa - Vũng Tàu-  Hồ Chí Minh,595
Bà Rịa - Vũng Tàu-  Bình Dương-  Đồng Nai,596
An Giang-  Quảng Ninh-  Quảng Ngãi,597
Hồ Chí Minh-  Đà Nẵng-  Hà Nội,598
